power10,kanji,yomi,reading,symbol
10^3,キロ,きろ,kilo,k
10^6,メガ,めが,mega,M
10^9,ギガ,ぎが,giga,G
10^12,テラ,てら,tera,T
10^15,ペタ,ぺた,peta,P
10^18,エクサ,えくさ,exa,E
10^21,ゼタ,ぜた,zetta,Z
10^24,ヨタ,よた,yotta,Y
10^27,ロナ,ろな,ronna,R
10^30,クエタ,くえた,quetta,Q
